CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
7211,12,29,1-12-2017-029-09,9,1,1,1,Non-Deployment,99,28088,0,7,9997.0000,7,7.5000,-0.2898,7.5000,997.0000,9997.0000,3832.45356653444,9,2
7183,20,61,1-20-2017-061-09,9,1,1,1,Non-Deployment,99,62913,0,7,0.1000,7,47.5000,-0.6601,47.5000,997.0000,9997.0000,1958.12195970583,11,2
8809,17,91,1-17-2017-091-04,4,1,1,1,Non-Deployment,99,18713,0,7,9997.0000,7,9997.0000,-1.3846,9997.0000,997.0000,9997.0000,1129.31246423995,4,2
6901,29,18,1-29-2017-018-06,6,1,1,1,First Record,99,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,704.916144972574,2,2
6901,29,18,1-29-2017-018-06,6,1,1,2,Second Record,99,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,704.916144972574,2,2
6960,22,46,1-22-2017-046-01,1,1,1,1,Non-Deployment,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,96.8900178613484,12,2
7322,22,67,1-22-2017-067-03,3,1,1,2,Rollover,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,65.6205867032439,12,2
7674,12,40,1-12-2017-040-05,5,2,1,3,Rollover,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,628.832940754307,9,2
8494,30,91,1-30-2017-091-05,5,1,1,4,Side Crash,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,101.939042109894,10,2
8077,20,116,1-20-2017-116-01,1,1,1,4,Side Crash,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,47.9714768351659,11,2
7726,21,46,1-21-2017-046-06,6,2,1,3,Side Crash,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,258.739772672401,11,2
7618,12,39,1-12-2017-039-07,7,1,1,4,Side Crash,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,990.615583180885,9,2
6387,16,14,1-16-2017-014-06,6,3,1,1,Non-Deployment,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,402.490501033813,5,2
8569,30,94,1-30-2017-094-01,1,1,1,4,Rollover,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,296.473531547872,10,2
6198,22,3,1-22-2017-003-09,9,2,1,5,Side Crash,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,358.511606967376,12,2
8113,24,107,1-24-2017-107-03,3,2,1,3,Rollover,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,293.014123084042,1,2
7305,31,29,1-31-2017-029-07,7,1,1,4,Side Crash,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,6637.32119482343,6,2
7255,32,64,1-32-2017-064-06,6,1,1,2,Side Crash,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,967.187878734124,7,2
7711,25,24,1-25-2017-024-01,1,1,1,4,Side Crash,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,94.6973868464172,2,2
7255,32,64,1-32-2017-064-06,6,2,1,3,Rollover,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,967.187878734124,7,2
7805,31,39,1-31-2017-039-09,9,1,1,1,Non-Deployment,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1663.27604062427,6,2
7217,17,36,1-17-2017-036-05,5,1,1,2,1st Prior Event,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,139.816311562178,4,2
6270,19,15,1-19-2017-015-06,6,1,1,1,Deployment,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,169.155252521446,9,2
8565,19,126,1-19-2017-126-06,6,1,1,1,Non-Deployment,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1056.58876099266,9,2
7293,25,11,1-25-2017-011-05,5,2,1,4,Side Crash,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,44.5090118556966,2,2
8267,17,76,1-17-2017-076-08,8,1,1,1,Non-Deployment,97,34611,0,7,9997.0000,7,9997.0000,-0.0161,9997.0000,997.0000,9997.0000,421.793016497506,4,2
6858,24,36,1-24-2017-036-08,8,2,1,2,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,7,9997.0000,0.4830,9997.0000,997.0000,9997.0000,478.637750791523,1,2
7307,17,39,1-17-2017-039-09,9,2,1,1,Non-Deployment,97,28268,0,7,9997.0000,7,9997.0000,0.0000,9997.0000,997.0000,9997.0000,746.523651762387,4,2
8587,15,102,1-15-2017-102-05,5,2,1,4,Side Crash,97,999998,7,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,139.120181829215,1,2
8283,33,105,1-33-2017-105-10,10,2,1,2,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,7,9997.0000,8.2110,9997.0000,997.0000,9997.0000,3824.95382848974,12,2
6248,28,3,1-28-2017-003-08,8,1,1,2,Second Record,97,999998,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,115.39700389055,3,2
6787,13,30,1-13-2017-030-02,2,1,1,1,First Record,97,999998,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,91.0705421755407,7,2
