CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
16413,77,18,1-77-2020-018-02,2,2,1,1,Most Recent Event,1,2735,0,1,6554.0000,1,9997.0000,-13.0410,92.0000,5.9570,72.0000,82.8182922699722,9,5
16598,12,17,1-12-2020-017-03,3,2,1,1,Deployment,1,37818,0,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,796.623593547928,9,5
16598,12,17,1-12-2020-017-03,3,2,1,2,Non-Deployment,97,37770,0,97,0.1000,7,9997.0000,0.0000,9997.0000,997.0000,9997.0000,796.623593547928,9,5
16572,26,23,1-26-2020-023-02,2,1,1,1,"Record 1, Most Recent",1,4207,1,3,0.0050,1,300.0000,8.0000,300.0000,997.0000,9997.0000,29.7923693967724,10,5
16572,26,23,1-26-2020-023-02,2,1,1,2,Record 2,1,4207,1,2,2.5290,1,300.0000,8.0000,300.0000,997.0000,9997.0000,29.7923693967724,10,5
16572,26,23,1-26-2020-023-02,2,1,1,3,Record 3,1,4207,0,1,0.0000,1,292.5000,-19.0000,292.5000,2.0000,285.0000,29.7923693967724,10,5
16355,52,16,1-52-2020-016-03,3,1,1,2,1st Prior Event,2,6727,0,97,9997.0000,1,9997.0000,-19.6420,215.0000,997.0000,9997.0000,38.6623052366953,12,5
16355,52,16,1-52-2020-016-03,3,1,1,4,3rd Prior Event,95,6727,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,38.6623052366953,12,5
16355,52,16,1-52-2020-016-03,3,1,1,1,Most Recent Event,95,6727,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,38.6623052366953,12,5
16549,73,13,1-73-2020-013-03,3,1,1,1,First Record,1,8384,0,1,9997.0000,1,9997.0000,-11.9462,300.0000,12.7029,68.0000,28.4897953143976,3,5
16549,73,13,1-73-2020-013-03,3,2,1,3,2nd Prior Event,1,3823,0,97,9997.0000,1,9997.0000,-24.6330,116.0000,997.0000,9997.0000,28.4897953143976,3,5
16549,73,13,1-73-2020-013-03,3,2,1,4,3rd Prior Event,95,3823,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,28.4897953143976,3,5
16549,73,13,1-73-2020-013-03,3,2,1,2,1st Prior Event,95,3823,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,28.4897953143976,3,5
16549,73,13,1-73-2020-013-03,3,2,1,1,Most Recent Event,95,3823,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,28.4897953143976,3,5
16429,32,19,1-32-2020-019-05,5,1,1,1,Non-Deployment,97,46504,0,97,0.6000,7,9997.0000,-0.0483,9997.0000,997.0000,9997.0000,98.9000122731153,7,5
16294,16,8,1-16-2020-008-03,3,1,1,2,Second Record,1,999997,0,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,221.583905876562,5,5
16429,32,19,1-32-2020-019-05,5,2,1,1,Event Record 1,3,17659,0,1,9997.0000,1,127.5000,-35.4200,127.5000,-6.4400,40.0000,98.9000122731153,7,5
16294,16,8,1-16-2020-008-03,3,2,1,1,"Record 1, Most Recent",1,3118,0,1,0.0000,1,300.0000,-27.0000,300.0000,13.0000,55.0000,221.583905876562,5,5
16416,11,8,1-11-2020-008-01,1,1,1,2,Second Record,4,24390,1,2,3.2000,1,9997.0000,-14.8281,132.0000,8.7906,130.0000,121.76930413299,8,5
16661,19,29,1-19-2020-029-02,2,1,1,1,Event Record 1,99,2071,0,1,0.0000,1,9997.0000,0.0000,205.0000,-1.6100,290.0000,44.8387754761066,9,5
16351,16,13,1-16-2020-013-01,1,1,1,1,Event Record 1,1,18290,0,4,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,30.7474661493128,5,5
16351,16,13,1-16-2020-013-01,1,1,1,3,Event Record 3,3,18290,0,3,0.7900,1,9997.0000,-6.4400,226.0000,35.4200,236.0000,30.7474661493128,5,5
16573,26,24,1-26-2020-024-02,2,1,1,2,1st Prior Event,1,5456,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,29.7923693967724,10,5
19689,22,119,1-22-2020-119-09,9,1,1,2,Second Record,1,999997,0,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,157.592307045386,12,5
19690,22,120,1-22-2020-120-04,4,1,1,2,1st Prior Frontal/Rear Event,97,999997,1,97,9997.0000,1,9997.0000,1.4490,9997.0000,997.0000,9997.0000,85.0328808003173,12,5
19690,22,120,1-22-2020-120-04,4,1,1,1,Most Recent Frontal/Rear Event,1,999997,1,97,9997.0000,1,9997.0000,-4.3470,9997.0000,997.0000,9997.0000,85.0328808003173,12,5
19691,22,121,1-22-2020-121-09,9,1,1,1,Non-Deployment,95,15158,0,97,9997.0000,7,0.0000,997.0000,9997.0000,997.0000,9997.0000,157.592306968149,12,5
19693,76,85,1-76-2020-085-08,8,2,1,1,Non-Deployment,99,22763,0,97,0.2000,7,9997.0000,0.0000,9997.0000,997.0000,9997.0000,19.0220505707234,3,5
19694,19,162,1-19-2020-162-04,4,1,1,1,Event Record 1,1,1678,0,1,9997.0000,1,300.0000,-30.5900,300.0000,0.0000,247.5000,238.417394882227,9,5
19695,19,163,1-19-2020-163-03,3,2,1,1,Record 1,1,7339,0,1,9997.0000,1,176.0000,-20.9300,212.0000,13.0410,138.0000,79.4947138623705,9,5
19697,19,165,1-19-2020-165-04,4,1,1,1,Event Record 1,1,11673,0,1,9997.0000,1,9997.0000,-9.6600,300.0000,3.2200,67.5000,238.417394882227,9,5
19702,26,153,1-26-2020-153-04,4,2,1,1,Most Recent Event,1,2699,0,97,9997.0000,7,9997.0000,-17.3880,136.5000,997.0000,9997.0000,4435.41926341402,10,5
19709,18,80,1-18-2020-080-07,7,1,1,1,Most Recent Event,1,8574,0,1,6554.0000,1,9997.0000,-4.9910,66.0000,1.9320,224.0000,916.227141223057,6,5
