CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
20449,19,8,1-19-2021-008-05,5,1,4,4,23,10,12,5033,BC110-FMG,5,07/14/2020,2,3,2,2,1,1,1,4,3,1,3,3,0,1,1,4,1,1,1,47.5090336657469,9,6
20449,19,8,1-19-2021-008-05,5,1,3,3,21,12,19,6023,36511910,6,05/21/2020,3,3,2,0,0,0,0,0,0,0,0,2,0,1,1,3,1,1,1,47.5090336657469,9,6
20523,13,3,1-13-2021-003-02,2,1,2,2,23,12,19,9998,99999999,3,9999999999,2,2,2,2,1,1,1,5,3,2,1,2,0,1,1,5,1,1,1,73.7025912358478,7,6
20557,30,7,1-30-2021-007-04,4,1,4,2,31,13,23,6031,1982992,6,10/12/2017,3,1,2,0,0,0,0,0,0,0,0,9,0,1,9,5,1,0,0,2279.69650631218,10,6
20557,30,7,1-30-2021-007-04,4,1,5,5,33,13,23,6031,1851029,6,11/07/2015,3,1,2,0,0,0,0,0,0,0,0,9,0,1,9,5,1,0,0,2279.69650631218,10,6
20557,30,7,1-30-2021-007-04,4,1,3,4,23,98,98,9998,99999999,99,9999999999,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,2279.69650631218,10,6
20557,30,7,1-30-2021-007-04,4,1,2,3,21,98,98,9998,99999999,99,9999999999,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,2279.69650631218,10,6
20558,20,7,1-20-2021-007-03,3,2,2,2,22,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,77.6880934786098,11,6
20598,52,13,1-52-2021-013-04,4,1,3,2,21,13,23,9998,99999999,5,9999999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,51.735005042951,12,6
20603,24,8,1-24-2021-008-03,3,1,3,3,23,13,23,2054,99999999,2,9999999999,2,2,2,2,1,1,1,2,9,2,3,3,1,1,1,5,1,1,1,104.841552422715,1,6
20605,24,10,1-24-2021-010-03,3,2,2,2,21,13,23,9998,99999999,6,9999999999,3,2,2,9,9,0,0,0,0,0,0,0,0,1,1,3,9,1,1,104.841552440145,1,6
20606,24,11,1-24-2021-011-06,6,1,2,2,23,98,98,9998,99999999,99,9999999999,9,2,2,9,9,9,9,1,1,0,3,0,0,1,1,3,1,1,1,211.332603182619,1,6
20616,32,9,1-32-2021-009-02,2,1,2,2,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,82.2565401852226,7,6
20673,30,12,1-30-2021-012-03,3,2,2,2,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,201.49658033458,10,6
