CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTRUNO,SEATLOC,INTCOMP,INTRUSION,INTMAG,INTDIRECT,CASEWGT,PSUSTRAT,VERSION
32457,22,98,1-22-2023-098-03,3,2,2,23,9,999,1,3,40.62842331,12,8
32460,27,123,1-27-2023-123-03,3,1,1,12,3,5,1,2,20.05280512,3,8
32460,27,123,1-27-2023-123-03,3,1,2,13,2,4,1,2,20.05280512,3,8
32460,27,123,1-27-2023-123-03,3,1,3,11,2,6,1,2,20.05280512,3,8
32460,27,123,1-27-2023-123-03,3,1,4,11,24,999,9,2,20.05280512,3,8
32460,27,123,1-27-2023-123-03,3,1,5,13,24,999,9,2,20.05280512,3,8
32460,27,123,1-27-2023-123-03,3,1,6,12,32,999,9,2,20.05280512,3,8
32460,27,123,1-27-2023-123-03,3,1,7,21,25,999,9,2,20.05280512,3,8
32461,27,124,1-27-2023-124-04,4,1,1,13,35,15,3,2,67.75147542,3,8
32461,27,124,1-27-2023-124-04,4,1,2,11,19,14,2,1,67.75147542,3,8
32461,27,124,1-27-2023-124-04,4,1,3,12,19,5,1,1,67.75147542,3,8
32461,27,124,1-27-2023-124-04,4,1,4,13,19,3,1,1,67.75147542,3,8
32461,27,124,1-27-2023-124-04,4,1,5,21,20,8,2,1,67.75147542,3,8
32461,27,124,1-27-2023-124-04,4,1,6,21,19,14,2,1,67.75147542,3,8
32461,27,124,1-27-2023-124-04,4,1,7,22,19,4,1,1,67.75147542,3,8
32461,27,124,1-27-2023-124-04,4,1,8,23,9,5,1,3,67.75147542,3,8
32461,27,124,1-27-2023-124-04,4,1,9,11,8,4,1,3,67.75147542,3,8
32473,23,97,1-23-2023-097-06,6,1,1,23,18,999,2,3,958.1472033,5,8
32491,18,107,1-18-2023-107-06,6,1,1,13,22,10,2,1,231.1762511,6,8
32491,18,107,1-18-2023-107-06,6,1,2,12,22,6,1,1,231.1762511,6,8
32491,18,107,1-18-2023-107-06,6,1,3,11,22,3,1,1,231.1762511,6,8
32491,18,107,1-18-2023-107-06,6,1,4,98,13,7,1,3,231.1762511,6,8
32491,18,107,1-18-2023-107-06,6,1,5,98,19,4,1,1,231.1762511,6,8
32500,12,121,1-12-2023-121-07,7,2,1,23,16,4,1,3,743.8803261,9,8
32501,12,122,1-12-2023-122-09,9,1,1,11,22,15,3,1,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,2,12,22,20,3,1,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,3,13,22,10,2,1,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,4,11,19,30,4,1,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,5,12,19,20,3,1,550.6910394,9,8
32194,13,134,1-13-2023-134-01,1,1,5,12,35,999,5,3,92.45403532,7,8
32194,13,134,1-13-2023-134-01,1,1,6,11,35,999,2,3,92.45403532,7,8
32194,13,134,1-13-2023-134-01,1,1,1,13,34,999,5,3,92.45403532,7,8
32194,13,134,1-13-2023-134-01,1,1,2,12,34,999,5,3,92.45403532,7,8
32195,13,135,1-13-2023-135-02,2,1,4,23,8,9,2,3,28.70592218,7,8
32195,13,135,1-13-2023-135-02,2,1,5,13,12,999,1,3,28.70592218,7,8
32195,13,135,1-13-2023-135-02,2,1,6,13,29,999,1,3,28.70592218,7,8
32195,13,135,1-13-2023-135-02,2,1,7,13,7,999,2,3,28.70592218,7,8
32195,13,135,1-13-2023-135-02,2,1,1,13,15,37,4,3,28.70592218,7,8
32195,13,135,1-13-2023-135-02,2,1,2,13,6,19,3,3,28.70592218,7,8
32195,13,135,1-13-2023-135-02,2,1,3,23,15,16,3,3,28.70592218,7,8
32201,76,110,1-76-2023-110-05,5,2,1,11,24,11,2,2,20.73978914,3,8
32201,76,110,1-76-2023-110-05,5,2,2,11,2,999,2,2,20.73978914,3,8
32201,76,110,1-76-2023-110-05,5,2,3,12,21,10,2,2,20.73978914,3,8
32201,76,110,1-76-2023-110-05,5,2,4,13,21,11,2,2,20.73978914,3,8
32201,76,110,1-76-2023-110-05,5,2,5,13,24,43,4,2,20.73978914,3,8
32201,76,110,1-76-2023-110-05,5,2,6,11,5,999,3,2,20.73978914,3,8
32201,76,110,1-76-2023-110-05,5,1,1,11,5,15,3,2,20.73978914,3,8
32201,76,110,1-76-2023-110-05,5,1,2,11,2,4,1,2,20.73978914,3,8
32201,76,110,1-76-2023-110-05,5,1,3,11,12,999,1,3,20.73978914,3,8
32204,16,120,1-16-2023-120-01,1,1,5,12,19,6,1,1,64.82283567,5,8
32204,16,120,1-16-2023-120-01,1,1,6,13,19,6,1,1,64.82283567,5,8
32204,16,120,1-16-2023-120-01,1,1,7,11,7,17,3,3,64.82283567,5,8
32204,16,120,1-16-2023-120-01,1,1,1,11,22,8,2,1,64.82283567,5,8
32204,16,120,1-16-2023-120-01,1,1,2,12,22,15,3,1,64.82283567,5,8
32204,16,120,1-16-2023-120-01,1,1,3,13,21,18,3,1,64.82283567,5,8
32501,12,122,1-12-2023-122-09,9,1,6,13,19,15,3,1,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,13,11,8,40,4,3,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,14,21,14,50,5,3,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,15,11,24,999,9,3,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,16,23,20,999,3,1,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,17,11,35,999,4,1,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,7,21,19,50,5,1,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,8,22,19,40,4,1,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,9,23,19,30,4,1,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,10,11,7,30,4,3,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,11,11,20,30,4,3,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,12,21,20,999,4,1,550.6910394,9,8
32513,20,122,1-20-2023-122-06,6,1,1,99,99,999,9,9,401.129169,11,8
32520,14,91,1-14-2023-091-03,3,1,1,12,35,999,9,2,2209.701125,8,8
32520,14,91,1-14-2023-091-03,3,1,2,13,35,999,9,2,2209.701125,8,8
32520,14,91,1-14-2023-091-03,3,1,3,11,21,999,9,2,2209.701125,8,8
32520,14,91,1-14-2023-091-03,3,1,4,12,21,999,9,2,2209.701125,8,8
32520,14,91,1-14-2023-091-03,3,1,5,13,21,999,9,2,2209.701125,8,8
32524,13,146,1-13-2023-146-01,1,1,3,23,13,999,1,3,33.82765014,7,8
32524,13,146,1-13-2023-146-01,1,1,1,13,8,8,2,3,33.82765014,7,8
32524,13,146,1-13-2023-146-01,1,1,2,13,18,999,2,3,33.82765014,7,8
32554,26,134,1-26-2023-134-08,8,1,1,11,21,10,2,2,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,2,9,88,96,999,8,8,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,2,3,13,18,999,3,3,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,2,4,23,18,999,3,3,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,2,5,13,6,999,3,3,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,2,6,23,6,999,3,3,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,2,7,13,12,999,2,3,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,2,8,23,24,999,2,2,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,1,2,12,21,12,2,2,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,1,3,13,21,10,2,2,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,1,4,11,33,8,2,2,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,1,5,13,33,8,2,2,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,2,1,13,8,999,3,3,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,2,2,23,8,999,3,3,262.8626365,10,8
32560,21,117,1-21-2023-117-02,2,1,17,11,19,999,1,1,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,18,12,19,999,1,1,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,19,13,19,999,1,1,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,20,23,19,999,1,1,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,21,22,19,999,1,1,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,11,23,9,999,1,3,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,12,13,20,999,1,3,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,13,23,20,999,1,3,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,14,21,30,999,1,1,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,15,22,30,999,1,1,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,16,23,30,999,1,1,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,5,12,32,999,1,3,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,6,13,7,999,9,3,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,7,23,15,999,2,3,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,8,23,29,999,1,3,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,9,22,29,999,1,3,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,10,21,29,999,1,3,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,1,13,14,20,3,3,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,2,13,4,999,3,2,58.86931901,11,8
32560,21,117,1-21-2023-117-02,2,1,3,12,3,999,2,2,58.86931901,11,8
